# time,x,y,z,qw,qx,qy,qz
0.000000000000000000e+00,2.503806948661804199e-01,1.104329466819763184e+00,-2.919063717126846313e-02,8.097184300422668457e-01,-1.106161624193191528e-03,-3.928780555725097656e-02,-5.855010151863098145e-01
3.333333333333333287e-02,2.500063180923461914e-01,1.106081247329711914e+00,-2.908069081604480743e-02,8.083291053771972656e-01,-1.909248530864715576e-03,-3.905756399035453796e-02,-5.874305963516235352e-01
6.666666666666666574e-02,2.461674511432647705e-01,1.107422471046447754e+00,-3.013299591839313507e-02,8.075622320175170898e-01,-1.305933925323188305e-03,-3.918697685003280640e-02,-5.884782075881958008e-01
1.000000000000000056e-01,2.457041591405868530e-01,1.106792688369750977e+00,-2.541082352399826050e-02,8.132874965667724609e-01,-1.347416266798973083e-02,-3.513104468584060669e-02,-5.806443691253662109e-01
1.333333333333333315e-01,2.412876337766647339e-01,1.110156893730163574e+00,-2.535576559603214264e-02,8.105283975601196289e-01,-1.241620257496833801e-02,-3.892926871776580811e-02,-5.842724442481994629e-01
1.666666666666666574e-01,2.364370375871658325e-01,1.111048936843872070e+00,-2.408962324261665344e-02,8.099424242973327637e-01,-1.213566213846206665e-02,-4.085041210055351257e-02,-5.849591493606567383e-01
2.000000000000000111e-01,2.284984439611434937e-01,1.111126899719238281e+00,-2.733967825770378113e-02,8.079347014427185059e-01,-1.217908412218093872e-02,-4.366959631443023682e-02,-5.875257253646850586e-01
2.333333333333333370e-01,2.197140306234359741e-01,1.110525727272033691e+00,-2.941443026065826416e-02,8.067737817764282227e-01,-1.330515369772911072e-02,-4.777468740940093994e-02,-5.887758731842041016e-01
2.666666666666666630e-01,2.124730050563812256e-01,1.109616279602050781e+00,-2.819879353046417236e-02,8.063457012176513672e-01,-1.178461313247680664e-02,-4.978688433766365051e-02,-5.892275571823120117e-01
2.999999999999999889e-01,2.086189687252044678e-01,1.108536601066589355e+00,-2.836152538657188416e-02,8.100937604904174805e-01,-3.829434048384428024e-03,-5.664008855819702148e-02,-5.835453271865844727e-01
3.333333333333333148e-01,2.018608748912811279e-01,1.109179735183715820e+00,-2.721090242266654968e-02,8.094213008880615234e-01,-4.826366901397705078e-03,-6.162961944937705994e-02,-5.839655399322509766e-01
3.666666666666666408e-01,1.974710226058959961e-01,1.111766934394836426e+00,-2.702583000063896179e-02,8.080305457115173340e-01,-7.775589823722839355e-03,-6.872796267271041870e-02,-5.850663185119628906e-01
